epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,220.939,1.70165,1.29189,1.55949,0.42715,0.54702,0.48721,0.12312,2.41106,1.89236,2.21519,0.0007526,0.0007526,0.0007526
65,224.716,1.6046,1.22467,1.52693,0.38072,0.53333,0.40514,0.10609,2.57006,1.8245,2.38334,0.0007328,0.0007328,0.0007328
66,228.217,1.53627,1.12509,1.43669,0.47515,0.46667,0.42864,0.10247,2.5555,1.72083,2.36487,0.000713,0.000713,0.000713
67,231.912,1.67648,1.14579,1.46722,0.50727,0.53333,0.51901,0.15989,2.40994,1.65501,2.24176,0.0006932,0.0006932,0.0006932
68,235.461,1.66121,1.23574,1.48794,0.55272,0.53333,0.52784,0.16521,2.36317,1.65854,2.20924,0.0006734,0.0006734,0.0006734
69,238.739,1.65641,1.13728,1.4382,0.66897,0.4,0.50363,0.18217,2.31808,1.63666,2.15935,0.0006536,0.0006536,0.0006536
70,242.925,1.73629,1.29978,1.50841,0.57583,0.45287,0.49247,0.17384,2.18643,1.72194,2.01905,0.0006338,0.0006338,0.0006338
71,246.32,1.60673,1.19481,1.46361,0.67738,0.46667,0.59476,0.17348,2.20972,1.78178,2.0465,0.000614,0.000614,0.000614
72,249.674,1.61489,1.2508,1.53328,0.58918,0.46667,0.55079,0.17093,2.22515,1.76909,2.06927,0.0005942,0.0005942,0.0005942
73,253.137,1.61824,1.1565,1.46252,0.54671,0.5229,0.55609,0.17485,2.20352,1.73769,2.05708,0.0005744,0.0005744,0.0005744
74,256.846,1.53625,1.07946,1.42728,0.50726,0.56667,0.5569,0.18094,2.17849,1.66514,2.01884,0.0005546,0.0005546,0.0005546
75,260.17,1.55119,1.12785,1.47039,0.59652,0.5,0.54111,0.18181,2.24279,1.71233,2.06224,0.0005348,0.0005348,0.0005348
76,263.44,1.57156,1.09939,1.40556,0.49281,0.42136,0.48337,0.16461,2.27519,1.73079,2.1225,0.000515,0.000515,0.000515
